,job_title,job_domain,published,deadline,education,skills
354,Digital Operations Analyst (Web Developer),Web Development,13 Feb 2025,20 Feb 2025,['Bachelor of Science (BSc)'],"['HTML/ DHTML', 'UI/UX strategies']"
355,"Senior Manager, Health Informatics & Technology, BRAC Health Programme (Contractual)",IT & Networking,13 Feb 2025,23 Feb 2025,[],[]
356,Executive - Sales & Marketing,Digital Marketing,13 Feb 2025,23 Feb 2025,[],"['Facebook marketing', 'Graphics Design', 'MS Word/ Excel/ PowerPoint/ OneNote', 'Online Marketing']"
357,Assistant IT Manager,IT & Networking,13 Feb 2025,12 Mar 2025,['Bachelor/Honors'],"['Vlan', 'VPN']"
358,Software Engineer,Software Development,13 Feb 2025,13 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['JavaScript', 'PHP Laravel', 'PHP MySql', 'PHP Programming', 'ReactJS']"
359,Executive/ Sr. Executive - Digital Marketing,Digital Marketing,16 Feb 2025,12 Mar 2025,[],[]
360,IT Support Technician,IT & Networking,13 Feb 2025,12 Mar 2025,['Bachelor/Honors'],[]
361,IT Security Support Technician,IT & Networking,13 Feb 2025,12 Mar 2025,['Bachelor/Honors'],['Cyber Security']
362,Engineer/Sr. Engineer - IT,IT & Networking,13 Feb 2025,10 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor of Science (BSc) in Computer Science & Engineering.']",[]
363,Intern(IT),IT & Networking,13 Feb 2025,28 Feb 2025,['Master of Science (MSc) in Computer Science & Engineering'],['c# scripting']
364,Digital Marketing Expert (SEO & Social Media Marketing),Digital Marketing,13 Feb 2025,23 Feb 2025,"['Bachelor of Business Administration (BBA), Master of Business Administration (MBA)']",[]
365,Google Ad Expert,Digital Marketing,14 Feb 2025,25 Feb 2025,[],[]
366,Backend Engineer (Online Travel Agency),Software Development,14 Feb 2025,24 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bangladesh University of Engineering and Technology,Ahsanullah University of Science and Technology students will get preference']",[]
367,Senior Data & Analytics Engineer,Data Analytics,14 Feb 2025,13 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Artificial intelligence (AI)', 'AWS Service', 'Google Ads', 'Google analytics', 'Machine Learning', 'Power BI', 'Python', 'SQL', 'Tableau']"
368,Assistant System Engineer (Server & Networking),IT & Networking,14 Feb 2025,16 Mar 2025,"['Diploma in Computer in Computer Science, Bachelor of Science (BSc) in Computer Science']","['Linux-based Mail Server', 'Router configuration', 'Windows Server']"
369,Senior Executive- Oracle EBS Techno-Functional,Software Development,14 Feb 2025,28 Feb 2025,"['Diploma in Computer in Computer Science, Bachelor of Science (BSc) in Computer Science & Engineering, Master of Information & Communication Technology (MICT) in Computer Science & Engineering']",[]
370,Intern - Server Administration & DevOps Support (Freshers Welcome!),IT & Networking,16 Feb 2025,28 Feb 2025,[],[]
371,Frontend Developer,Web Development,16 Feb 2025,28 Feb 2025,['Bachelor/Honors'],"['CSS', 'HTML', 'JavaScript', 'scss', 'Typescript']"
372,R&D Engineer (Network Product),IT & Networking,16 Feb 2025,28 Feb 2025,"['Bachelor in Engineering (BEngg) in Electronics and Telecommunication Engineering, Bachelor in Engineering (BEngg) in Electrical & Electronic Engineering, Bachelor in Engineering (BEngg) in Computer Science & Engineering']",[]
373,R&D Engineer (Computer Product),Software Development,16 Feb 2025,28 Feb 2025,"['Bachelor in Engineering (BEngg) in Electrical & Electronic Engineering, Bachelor in Engineering (BEngg) in Electronics and Telecommunication Engineering, Bachelor in Engineering (BEngg) in Computer Science & Engineering']",[]
374,Software Support Engineer,Software Development,16 Feb 2025,24 Feb 2025,[],"['Customer Service Management', 'MS SQL Server', 'Problem solving capacity']"
375,Web and Communications Engineer,Web Development,16 Feb 2025,28 Feb 2025,['Bachelor/Honors'],"['Adobe illustrator', 'Adobe Photoshop', 'Ecommerce Development', 'HTML5', 'Java', 'JavaScript', 'JSON', 'PHP', 'Woocommerce', 'WordPress']"
376,Management Trainee,Project Management & Administration,16 Feb 2025,2 Mar 2025,"[""Bachelor's/Master's degree in Computer Science & Engineering (CSE), Statistics, Applied Statistics. Mathematics, or a related field.""]",[]
377,Relationship Officer,Digital Marketing,16 Feb 2025,26 Feb 2025,[],[]
378,Flutter Developer,Software Development,16 Feb 2025,23 Feb 2025,['Bachelor in Engineering (BEngg)'],[]
379,Flutter Developer,Software Development,16 Feb 2025,28 Feb 2025,[],[]
380,Jr. Executive/ Executive (Sales & Marketing),Digital Marketing,16 Feb 2025,28 Feb 2025,['Bachelor/Honors'],"['Communication', 'Computer skill', 'Negociation Skill']"
381,Software Engineer / Sr. Software Engineer (ASP.NET),Software Development,16 Feb 2025,18 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['ASP .NET', 'ASP.NET Core', 'ASP.NET MVC', 'Erp software']"
382,IT & Graphic Design Intern,IT & Networking,16 Feb 2025,28 Feb 2025,['Bachelor of Science (BSc) in Computer Engineering'],['Graphics Design']
383,"Lead Advisor, Information Security",IT & Networking,16 Feb 2025,18 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Cyber Security', 'Cyber Security Management', 'Cyber Threat', 'Good Communication Skill (Bangla and English)', 'Leadership and teamwork']"
384,Database Administrator,IT & Networking,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology']",[]
385,System Administrator,IT & Networking,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology, or a related field.']",[]
386,Network & Security Administrator,IT & Networking,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology, or a related field.']",[]
387,DevOps Engineer,Software Development,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology']",[]
388,Enterprise Solution Specialist,IT & Networking,16 Feb 2025,28 Feb 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],[]
